Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.77.21-8.8.8.8-49884-443-6,192.168.77.21,49884,8.8.8.8,443,6,04/04/2025 03:53:13 PM,968757,4,7,1784.0,4190.0,1784.0,0.0,446.00000000000006,892.0,1460.0,0.0,598.5714285714286,747.7135942642872,6166.665118290758,11.354756662403473,96875.70000000001,267361.3191756512,855485.0,41.0,938460.0,312820.0,470839.97328073153,855485.0,12742.0,957372.0,159562.0,343816.3440065059,859430.0,453.0,0,0,0,0,80,156,4.129002422692172,7.2257542397113,0.0,1784.0,497.83333333333337,742.9099827194694,551915.2424242424,0,1,0,0,0,0,0,0,1.0,543.0909090909091,446.0,598.5714285714286,0,0,0,0,0,0,4,1784,7,4190,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49885-443-6,192.168.77.21,49885,8.8.8.8,443,6,04/04/2025 03:53:13 PM,968426,4,6,1752.0,2824.0,1752.0,0.0,438.0,876.0,1412.0,0.0,470.66666666666663,729.153664645983,4725.193251730127,10.326034203955697,107602.88888888889,281729.4856899276,856294.0,48.0,938669.0,312889.6666666666,472159.0865633461,856294.0,2873.0,965505.0,193101.0,376185.81170945294,864079.0,530.0,0,0,0,0,80,136,4.1304136815822785,6.195620522373418,0.0,1752.0,416.0,717.8701832504258,515337.5999999999,0,1,0,0,0,0,0,0,1.0,457.6,438.0,470.6666666666667,0,0,0,0,0,0,4,1752,6,2824,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
150.171.28.11-192.168.77.21-443-49886-6,192.168.77.21,49886,150.171.28.11,443,6,04/04/2025 03:53:14 PM,233147,3,4,1760.0,0.0,1760.0,0.0,586.6666666666667,1016.1364737737413,0.0,0.0,0.0,0.0,7548.885467108734,30.023976289637012,38857.833333333336,60037.273403833606,156476.0,80.0,204775.0,102387.5,76492.69026841715,156476.0,48299.0,191164.0,63721.33333333333,86567.93256936043,162384.0,488.0,0,0,0,0,60,96,12.867418409844433,17.156557879792576,0.0,1760.0,220.0,622.2539674441618,387200.00000000006,0,1,0,0,0,0,0,0,1.0,251.42857142857142,586.6666666666666,0.0,0,0,0,0,0,0,3,1760,4,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-13.107.42.16-49879-443-6,192.168.77.21,49879,13.107.42.16,443,6,04/04/2025 03:53:13 PM,3360331,8,12,1953.0,6817.0,1795.0,0.0,244.12499999999994,629.0824241930237,1460.0,0.0,568.0833333333334,675.2536840912369,2609.8619451476657,5.9517946297552236,176859.5263157895,502849.7606100618,2110030.0,0.0,3297224.0,471032.0,774872.4455089367,2110030.0,2269.0,1250229.0,113657.18181818182,252350.2025423472,864731.0,0.0,0,0,0,0,160,256,2.3807178519020895,3.571076777853134,0.0,1795.0,417.6190476190476,650.8739106916543,423636.84761904756,0,1,0,0,0,0,0,0,1.0,438.5,244.125,568.0833333333334,0,0,0,0,0,0,8,1953,12,6817,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-204.79.197.203-49880-443-6,192.168.77.21,49880,204.79.197.203,443,6,04/04/2025 03:53:13 PM,3346996,88,162,4930.0,183221.0,2036.0,0.0,56.02272727272727,292.33188418647865,1460.0,0.0,1130.9938271604947,525.8097865565816,56214.88642352725,74.69384486865238,13441.751004016058,71492.78530604874,838630.0,0.0,3315130.0,38104.942528735635,117795.50648281608,838630.0,526.0,2857890.0,17750.86956521739,83468.97902380639,887692.0,0.0,0,0,0,0,1760,3256,26.292233393765635,48.401611474886735,0.0,2036.0,749.605577689243,688.2047310275954,473625.7518087649,0,1,0,0,0,0,0,0,1.0,752.604,56.02272727272727,1130.9938271604938,0,0,0,0,0,0,88,4930,162,183221,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-23.32.249.10-49881-443-6,192.168.77.21,49881,23.32.249.10,443,6,04/04/2025 03:53:13 PM,3330913,12,16,2839.0,5732.0,1754.0,0.0,236.58333333333337,539.242306529741,1460.0,0.0,358.25,537.9694539035961,2573.168377558946,8.40610367187615,123367.14814814815,431946.49885655835,2096383.0,0.0,3324286.0,302207.8181818182,652724.2367820913,2096383.0,10860.0,1234498.0,82299.86666666667,248621.5814606225,976645.0,0.0,0,0,0,0,240,336,3.6026158593754927,4.803487812500657,0.0,1754.0,295.5517241379311,525.4843742550362,276133.82758620696,0,1,0,0,0,0,0,0,1.0,306.10714285714283,236.58333333333334,358.25,0,0,0,0,0,0,12,2839,16,5732,-1,64240,5,0,0,0,0,0,0,0,0,0,No Label
150.171.28.11-192.168.77.21-443-49883-6,192.168.77.21,49883,150.171.28.11,443,6,04/04/2025 03:53:13 PM,3218086,14,20,3150.0,8319.0,1824.0,0.0,225.00000000000003,495.38174867780197,1460.0,0.0,415.9499999999999,611.0749351068079,3563.9196715066037,10.565286322366774,97517.75757575757,377013.9827364688,2071751.0,26.0,3189188.0,245322.15384615384,583219.3630217316,2071751.0,256.0,1146288.0,60330.94736842105,169607.78230293354,745051.0,157.0,0,0,0,0,280,416,4.350412015092201,6.214874307274573,0.0,1824.0,327.6857142857143,560.8787627951533,314584.9865546219,0,1,0,0,0,0,0,0,1.0,337.3235294117647,225.0,415.95,0,0,0,0,0,0,14,3150,20,8319,-1,64240,6,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49882-443-6,192.168.77.21,49882,8.8.8.8,443,6,04/04/2025 03:53:13 PM,3264388,20,29,3057.0,8561.0,1784.0,0.0,152.85,392.99139872735657,1412.0,0.0,295.2068965517241,460.8631172136492,3559.0132055380673,15.010470569062257,68008.08333333333,204197.6650386261,1115848.0,0.0,3219837.0,169465.10526315792,302517.3912693826,1115848.0,104.0,2882373.0,102941.89285714287,259812.532474124,1119321.0,0.0,0,0,0,0,400,596,6.126722681249901,8.883747887812357,0.0,1784.0,232.36,432.75169672735905,187274.03102040812,0,1,0,0,0,0,0,0,1.0,237.10204081632654,152.85,295.2068965517241,0,0,0,0,0,0,20,3057,29,8561,-1,64240,11,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-23.32.249.10-49881-443-6,23.32.249.10,443,192.168.77.21,49881,6,04/04/2025 03:53:16 PM,4539,2,2,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,5287.508261731659,881.2513769552766,1513.0,1716.5724569618376,3404.0,53.0,1135.0,1135.0,0.0,1135.0,1135.0,3457.0,3457.0,0.0,3457.0,3457.0,0,0,0,0,40,40,440.6256884776383,440.6256884776383,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,1.0,6.0,12.0,0.0,0,0,0,0,0,0,2,24,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49876-443-6,192.168.77.21,49876,8.8.4.4,443,6,04/04/2025 03:53:06 PM,9956342,18,23,2845.0,7874.0,1720.0,0.0,158.05555555555554,398.19851274905034,1412.0,0.0,342.3478260869566,531.243533324976,1076.6002212459155,4.11797826952911,248908.55,1060636.1170710658,5900808.0,0.0,9915439.0,583261.1176470589,1593105.2698128538,5900808.0,72.0,6574064.0,298821.0909090909,1254286.8148745273,5906186.0,0.0,0,0,0,0,360,476,1.8078928988176584,2.310085370711452,0.0,1720.0,255.21428571428578,476.62587136490544,227172.2212543554,0,1,0,0,0,0,0,0,1.0,261.4390243902439,158.05555555555554,342.3478260869565,0,0,0,0,0,0,18,2845,23,7874,-1,64240,11,0,667934.0,0.0,667934.0,667934.0,5900808.0,0.0,5900808.0,5900808.0,No Label
