No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
3427,31:35.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=121546 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002275,1514,0
3428,31:35.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=123006 Win=8320 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,5.50E-05,54,0
3429,31:35.2,199.232.210.172,192.168.77.21,TCP,1390,"80  >  49961 [PSH, ACK] Seq=123006 Ack=879 Win=64240 Len=1336 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000392,1390,0
3430,31:35.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=124342 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002286,1514,0
3431,31:35.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=125802 Win=5524 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,5.90E-05,54,0
3432,31:35.2,199.232.210.172,192.168.77.21,TCP,1390,"80  >  49961 [PSH, ACK] Seq=125802 Ack=879 Win=64240 Len=1336 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.00018,1390,0
3433,31:35.2,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=127138 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001826,1514,0
3434,31:35.2,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=128598 Win=2728 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,9.80E-05,54,0
3435,31:35.2,199.232.210.172,192.168.77.21,TCP,1390,"80  >  49961 [PSH, ACK] Seq=128598 Ack=879 Win=64240 Len=1336 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000325,1390,0
3436,31:35.2,199.232.210.172,192.168.77.21,TCP,1446,"[TCP Window Full] 80  >  49961 [PSH, ACK] Seq=129934 Ack=879 Win=64240 Len=1392 [TCP segment of a reassembled PDU]",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002059,1446,0
3437,31:35.2,192.168.77.21,199.232.210.172,TCP,54,[TCP ZeroWindow] 49961  >  80 [ACK] Seq=879 Ack=131326 Win=0 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,6.60E-05,54,0
3438,31:35.2,199.232.210.172,192.168.77.21,TCP,60,[TCP ZeroWindowProbe] 80  >  49961 [ACK] Seq=131326 Ack=879 Win=64240 Len=1 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002114,60,0
3439,31:35.2,192.168.77.21,199.232.210.172,TCP,54,[TCP ZeroWindowProbeAck] [TCP ZeroWindow] 49961  >  80 [ACK] Seq=879 Ack=131326 Win=0 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,0.000231,54,0
3440,31:35.2,157.240.199.17,192.168.77.21,TCP,82,"[TCP Retransmission] 443  >  49953 [PSH, ACK] Seq=57 Ack=97 Win=64240 Len=28",\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.026928,82,0
3441,31:35.2,192.168.77.21,157.240.199.17,TCP,54,49953  >  443 [ACK] Seq=97 Ack=85 Win=62832 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.30E-05,54,0
3442,31:35.4,199.232.210.172,192.168.77.21,TCP,60,[TCP ZeroWindowProbe] 80  >  49961 [ACK] Seq=131326 Ack=879 Win=64240 Len=1 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.185612,60,0
3443,31:35.4,192.168.77.21,199.232.210.172,TCP,54,[TCP ZeroWindowProbeAck] [TCP ZeroWindow] 49961  >  80 [ACK] Seq=879 Ack=131326 Win=0 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.50E-05,54,0
3444,31:35.6,50:00:00:02:00:03,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/1/50:00:00:02:00:00  Cost = 0  Port = 0x8004,,50:00:00:02:00:03,01:80:c2:00:00:00,,,,,0.241816,60,0
3445,31:35.8,199.232.210.172,192.168.77.21,TCP,60,[TCP ZeroWindowProbe] 80  >  49961 [ACK] Seq=131326 Ack=879 Win=64240 Len=1 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.162612,60,0
3446,31:35.8,192.168.77.21,199.232.210.172,TCP,54,[TCP ZeroWindowProbeAck] [TCP ZeroWindow] 49961  >  80 [ACK] Seq=879 Ack=131326 Win=0 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.20E-05,54,0
3447,31:36.6,199.232.210.172,192.168.77.21,TCP,60,[TCP ZeroWindowProbe] 80  >  49961 [ACK] Seq=131326 Ack=879 Win=64240 Len=1 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.80355,60,0
3448,31:36.6,192.168.77.21,199.232.210.172,TCP,54,[TCP ZeroWindowProbeAck] [TCP ZeroWindow] 49961  >  80 [ACK] Seq=879 Ack=131326 Win=0 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,6.00E-05,54,0
3449,31:37.7,50:00:00:02:00:03,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/1/50:00:00:02:00:00  Cost = 0  Port = 0x8004,,50:00:00:02:00:03,01:80:c2:00:00:00,,,,,1.055424,60,0
3450,31:38.2,199.232.210.172,192.168.77.21,TCP,60,[TCP ZeroWindowProbe] 80  >  49961 [ACK] Seq=131326 Ack=879 Win=64240 Len=1 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.552986,60,0
3451,31:38.2,192.168.77.21,199.232.210.172,TCP,54,[TCP ZeroWindowProbeAck] [TCP ZeroWindow] 49961  >  80 [ACK] Seq=879 Ack=131326 Win=0 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.90E-05,54,0
3452,31:39.7,50:00:00:02:00:03,Spanning-tree-(for-bridges)_00,STP,60,RST. Root = 32768/1/50:00:00:02:00:00  Cost = 0  Port = 0x8004,,50:00:00:02:00:03,01:80:c2:00:00:00,,,,,1.471412,60,0
3453,31:40.9,192.168.77.21,199.232.210.172,TCP,54,[TCP Window Update] 49961  >  80 [ACK] Seq=879 Ack=131326 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,1.180145,54,0
3454,31:40.9,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=131326 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.003894,1514,0
3455,31:40.9,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=132786 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000209,1514,0
3456,31:40.9,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=134246 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.80E-05,54,0
3457,31:40.9,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=134246 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001793,1514,0
3458,31:40.9,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=135706 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000524,1514,0
3459,31:40.9,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=137166 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,5.20E-05,54,0
3460,31:40.9,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=137166 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001299,1514,0
3461,31:40.9,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=138626 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000371,1514,0
3462,31:40.9,192.168.77.21,199.232.210.172,TCP,54,49961  >  80 [ACK] Seq=879 Ack=140086 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.70E-05,54,0
3463,31:40.9,199.232.210.172,192.168.77.21,TCP,1514,80  >  49961 [ACK] Seq=140086 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002261,1514,0
