Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
5353,9022454,1,1,36,58,36,36,36,0,58,58,58,0,10.41845157,0.221669182,9022454,0,9022454,9022454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.110834591,0.110834591,36,58,50.66666667,12.70170592,161.3333333,0,0,0,0,0,0,0,0,1,76,36,58,8,-1,-1,1,0,0,0,0,0,9022454,0,9022454,9022454
443,90980,1,3,0,83,0,0,0,0,43,0,27.66666667,24.00694344,912.288415,43.96570675,30326.66667,21292.38132,52532,10083,0,0,0,0,0,38448,19224,12927.32617,28365,10083,0,1,0,0,20,60,10.99142669,32.97428006,0,43,25.2,23.03692688,530.7,0,0,0,1,1,0,0,0,3,31.5,0,27.66666667,20,-1,1049,0,0,0,0,0,0,0,0,0,0
5353,1001285,1,1,58,58,58,58,58,0,58,58,58,0,115.8511313,1.997433298,1001285,0,1001285,1001285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.998716649,0.998716649,58,58,58,0,0,0,0,0,0,0,0,0,0,1,87,58,58,8,-1,-1,1,0,0,0,0,0,0,0,0,0
443,2451116,13,23,179,5833,94,0,13.76923077,33.66044624,1392,0,253.6086957,465.1427678,2452.760294,14.68718739,70031.88571,243217.1853,1408958,0,2212347,184362.25,415810.1081,1461695,35,2451023,111410.1364,311708.6481,1453670,0,0,1,0,0,308,460,5.303706557,9.383480831,0,1392,163.3513514,382.5702707,146360.012,0,0,0,1,1,0,0,0,1,167.8888889,13.76923077,253.6086957,308,-1,783,2,0,0,0,0,0,0,0,0,0
443,76411,1,3,0,100,0,0,0,0,63,0,33.33333333,31.65964835,1308.712096,52.34848386,25470.33333,26219.10586,52379,0,0,0,0,0,0,24032,12016,16993.19017,24032,0,0,1,0,0,20,60,13.08712096,39.26136289,0,63,32.6,31.59588581,998.3,0,0,0,1,1,0,0,0,3,40.75,0,33.33333333,20,-1,138,0,0,0,0,0,0,0,0,0,0
443,1385324,54,82,39511,51699,1250,35,731.6851852,571.0747836,1245,35,630.4756098,573.2149366,65840.19334,98.17197998,10261.65926,26022.47225,215961,0,1288048,24302.79245,42531.92907,215961,21,1385324,17102.76543,51007.89847,417240,0,0,0,0,0,432,656,38.98005088,59.19192911,35,1250,674.8540146,572.4063825,327649.0668,0,0,0,0,0,0,0,0,1,679.8161765,731.6851852,630.4756098,432,-1,-1,54,0,0,0,0,0,0,0,0,0
443,15297262,2,5,60,27,30,30,30,0,26,0,5.4,11.52388823,5.687292275,0.457598229,2549543.667,5858654.322,14506369,205,304473,304473,0,304473,304473,15297262,3824315.5,7122012.061,14506369,154317,0,0,0,0,40,124,0.130742351,0.326855878,0,30,11,14.68721504,215.7142857,0,0,0,0,1,0,0,0,2,12.57142857,30,5.4,40,-1,76,2,0,249173,0,249173,249173,14506369,0,14506369,14506369
55898,19161855,76,59,6927,55,594,43,91.14473684,85.86061634,55,0,0.93220339,7.160390104,364.3697335,7.045246924,142998.9179,231086.5599,1248045,0,19133530,255113.7333,285793.4742,1248161,0,19110152,329485.3793,290889.4455,1290292,3979,0,1,0,0,1520,1192,3.966213083,3.079033841,0,594,51.74264706,78.23042851,6119.999946,0,0,0,1,1,0,0,0,0,52.12592593,91.14473684,0.93220339,1520,-1,510,76,0,0,0,0,0,0,0,0,0
443,4223548,11,22,263,4122,92,0,23.90909091,40.98891203,1392,0,187.3636364,406.4567622,1038.226628,7.813336086,131985.875,529989.9226,2997455,0,3961385,396138.5,925204.4169,2997455,2024,4223339,201111.381,671609.8886,3097557,0,0,1,0,0,232,440,2.604445362,5.208890724,0,1392,129.9117647,334.4808159,111877.4162,0,0,0,1,1,0,0,0,2,133.8484848,23.90909091,187.3636364,232,-1,735,3,0,0,0,0,0,0,0,0,0
137,6302649,8,1,400,50,50,50,50,0,50,50,50,0,71.39855004,1.427971001,787831.125,223307.5981,1229295,427473,5550703,792957.5714,240690.7691,1229295,427473,0,0,0,0,0,0,0,0,0,64,8,1.269307556,0.158663445,50,50,50,0,0,0,0,0,0,0,0,0,0,0,55.55555556,50,50,64,-1,-1,8,0,0,0,0,0,0,0,0,0
