Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP,Prediction
443,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.0,128.0,0.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,7812.5,7812.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,-1,1021,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,108,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18518.51851851852,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,9259.25925925926,9259.25925925926,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,-1,1023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,44,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,22727.272727272728,22727.272727272728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,-1,1021,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,97,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20618.556701030928,97.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,10309.278350515464,10309.278350515464,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,-1,1021,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,239752,12,16,2439.0,6225.0,1412.0,0.0,203.25000000000003,407.7423707552245,1412.0,0.0,389.0625,573.0432757072831,36137.34191998399,116.787346925156,8879.703703703704,22606.3630760062,112506.0,0.0,212662.0,19332.90909090909,41886.51185156039,138940.0,0.0,238075.0,15871.666666666668,29151.825470081545,112506.0,0.0,0,0,0,0,240,344,50.05172011078114,66.73562681437485,0.0,1412.0,298.7586206896551,502.97924234167056,252988.11822660096,0,1,0,0,0,0,0,0,1.0,309.42857142857144,203.25,389.0625,240,-1,1046,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
50342,1925,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.9610389610389,1925.0,0.0,1925.0,1925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,519.4805194805194,519.4805194805194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,-1,1046,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.250.197.99,0
443,2360643,9,14,2428.0,6656.0,1440.0,0.0,269.77777777777777,485.10972412892784,1440.0,0.0,475.4285714285714,646.3179396557697,3848.1040970616905,9.74310812774316,107301.95454545456,477371.3996263165,2244101.0,0.0,2334332.0,291791.5,788976.3415647247,2244101.0,0.0,116444.0,8957.230769230768,13067.346594685589,29065.0,0.0,0,0,0,0,180,304,3.812520571725585,5.930587556017576,0.0,1440.0,378.5,578.389067188755,334533.9130434782,0,1,0,0,0,0,0,0,1.0,394.9565217391304,269.77777777777777,475.4285714285714,180,-1,16381,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,3531832,7,10,1805.0,4635.0,1384.0,0.0,257.85714285714283,511.9740971870317,1440.0,0.0,463.5,628.7886502368397,1823.4162893365256,4.813365981167847,220739.5,862734.4677789724,3455736.0,0.0,3526597.0,587766.1666666666,1405107.8202151489,3455736.0,0.0,76029.0,8447.666666666666,15479.14893493825,46195.0,0.0,0,0,0,0,140,224,1.9819742275397016,2.831391753628145,0.0,1440.0,357.7777777777777,565.724268272467,320043.9477124183,0,1,0,0,0,0,0,0,1.0,378.8235294117647,257.85714285714283,463.5,140,-1,501,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,3460146,6,7,2172.0,551.0,1384.0,0.0,362.0,572.1636129639843,287.0,0.0,78.71428571428572,134.5940987880651,786.9610126277909,3.757066898333192,288345.50000000006,976257.9325280328,3387989.0,0.0,3454085.0,690817.0,1507976.65688183,3387989.0,0.0,17016.0,2836.0,2919.8010206176723,5999.0,0.0,0,0,0,0,120,164,1.7340308761537808,2.023036022179411,0.0,1384.0,194.5,396.6747844461312,157350.88461538462,0,1,0,0,0,0,0,0,1.0,209.46153846153845,362.0,78.71428571428571,120,-1,501,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,3799337,19,37,3561.0,24409.0,1440.0,0.0,187.421052631579,388.0796475795878,1440.0,0.0,659.7027027027028,624.666616189293,7361.810758034889,14.739413745082366,69078.85454545454,390655.34982188576,2834218.0,0.0,3774066.0,209670.3333333333,673796.6978188076,2834218.0,0.0,965080.0,26807.777777777777,117221.40464366956,703647.0,0.0,0,0,0,0,380,764,5.000872520652946,9.73854122442942,0.0,1440.0,490.7017543859649,594.6722976598204,353635.14160401,0,1,0,0,0,0,0,0,1.0,499.4642857142857,187.42105263157896,659.7027027027027,380,-1,16384,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,2088784,104,198,2645.0,272755.0,1440.0,0.0,25.432692307692307,158.43308988143906,1440.0,0.0,1377.5505050505046,273.3952438599214,131847.0459367747,144.58172793357284,6939.481727574751,117897.4745976513,2045566.0,0.0,2085781.0,20250.300970873785,201519.1381536087,2045566.0,0.0,43197.0,219.27411167512685,790.4784175175621,6645.0,0.0,0,0,0,0,2784,3984,49.78973412281979,94.79199381075306,0.0,1440.0,908.9108910891092,687.6323776083378,472838.28673529567,0,1,0,0,0,0,0,0,1.0,911.9205298013244,25.432692307692307,1377.550505050505,2784,-1,483,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,1
50349,1231,2,2,24.0,24.0,24.0,0.0,12.0,16.97056274847714,24.0,0.0,12.0,16.97056274847714,38992.68887083671,3249.390739236393,410.33333333333337,653.5536193254027,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,0.0,67.0,67.0,0,1,0,0,40,40,1624.6953696181963,1624.6953696181963,0.0,24.0,14.4,13.145341380123988,172.8,0,0,0,1,1,0,0,0,1.0,18.0,12.0,12.0,40,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.68.81.70,0
443,10157571,5,9,1798.0,4076.0,1412.0,0.0,359.6,602.080393303087,1412.0,0.0,452.88888888888886,680.9016897549242,578.2878603555909,1.3782822684675302,781351.6153846154,2771148.786234286,10003996.0,0.0,46291.0,11572.75,17837.17345648314,38080.0,0.0,10157571.0,1269696.375,3529290.92753103,10003996.0,0.0,0,0,0,0,100,204,0.4922436673098322,0.886038601157698,0.0,1412.0,391.6,618.2520059467198,382235.5428571428,0,1,0,0,0,0,0,0,1.0,419.57142857142856,359.6,452.8888888888889,100,-1,1047,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,8639428,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314968074275287,8639428.0,0.0,8639428.0,8639428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,0.1157484037137643,0.1157484037137643,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,-1,512,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,44,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,545454.5454545454,45454.545454545456,44.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,20,20,22727.272727272728,22727.272727272728,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,20,-1,514,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
443,10565565,152,171,91528.0,18766.0,1392.0,0.0,602.1578947368421,621.3799970484746,1392.0,0.0,109.74269005847954,340.14528624556,10439.0063380425,30.57101063691341,32812.313664596266,146966.4667006224,1788474.0,0.0,10541177.0,69809.11920529802,217289.02912023044,1810621.0,0.0,10565257.0,62148.570588235285,202259.41997558932,1811318.0,0.0,0,0,0,0,3052,3456,14.38635794678278,16.18465269013063,0.0,1392.0,340.4135802469137,549.6974697940478,302167.3082979781,0,1,0,0,0,0,0,0,1.0,341.467492260062,602.1578947368421,109.74269005847954,3052,-1,1174,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.168.1.5,0
