Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.77.21-23.32.249.32-49720-443-6,23.32.249.32,443,192.168.77.21,49720,6,16/04/2025 04:27:44 PM,213546,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,145.16778586346734,14.048495406142,106773.0,150892.34446452212,213470.0,76.0,0,0,0,0,0,76.0,76.0,0.0,76.0,76.0,0,1,0,0,20,40,4.682831802047334,9.365663604094667,0.0,31.0,7.75,15.5,240.25,1,0,0,1,1,0,0,0,2.0,10.333333333333334,31.0,0.0,0,0,0,0,0,0,1,31,2,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-13.107.42.16-49734-443-6,192.168.77.21,49734,13.107.42.16,443,6,16/04/2025 04:28:28 PM,1922874,29,28,4071.0,27381.0,1827.0,0.0,140.37931034482756,369.33960502816984,1460.0,0.0,977.892857142857,664.6774399709601,16356.765965944727,29.64312794286053,34337.035714285696,80581.23741913312,419058.0,25.0,1843612.0,65843.28571428572,108536.92734830685,419058.0,238.0,1884314.0,69789.40740740742,162475.6221925803,836446.0,266.0,0,0,0,0,580,576,15.081591409525533,14.561536533334998,0.0,1827.0,542.2758620689657,675.8948790139735,456833.8874773139,0,1,0,0,0,0,0,0,0.0,551.7894736842105,140.3793103448276,977.8928571428571,0,0,0,0,0,0,29,4071,28,27381,-1,64240,8,0,0,0,0,0,0,0,0,0,No Label
150.171.28.11-192.168.77.21-443-49737-6,192.168.77.21,49737,150.171.28.11,443,6,16/04/2025 04:28:29 PM,1352849,4,3,1824.0,0.0,1824.0,0.0,456.0,912.0,0.0,0.0,0.0,0.0,1348.2657709766574,5.174265568441119,225474.8333333333,469823.68601738964,1178842.0,189.0,174007.0,58002.333333333336,69488.0537670565,137170.0,7107.0,1218289.0,609144.5,847451.2137961099,1208383.0,9906.0,0,0,0,0,92,76,2.956723181966354,2.2175423864747654,0.0,1824.0,228.0,644.8813844421313,415872.0,0,1,0,0,0,0,0,0,0.0,260.57142857142856,456.0,0.0,0,0,0,0,0,0,4,1824,3,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-204.79.197.203-49733-443-6,192.168.77.21,49733,204.79.197.203,443,6,16/04/2025 04:28:28 PM,1926232,5,3,2174.0,0.0,1817.0,0.0,434.8,787.9852155973485,0.0,0.0,0.0,0.0,1128.628327221228,4.153186116729449,275176.0,376336.3618493435,1054916.0,129.0,871316.0,217829.0,162378.07895566855,362365.0,3555.0,1243864.0,621932.0,870199.5460536623,1237256.0,6608.0,0,0,0,0,112,76,2.595741322955906,1.5574447937735434,0.0,1817.0,241.55555555555554,602.4736739292247,362974.52777777775,0,1,0,0,0,0,0,0,0.0,271.75,434.8,0.0,0,0,0,0,0,0,5,2174,3,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
150.171.28.11-192.168.77.21-443-49737-6,150.171.28.11,443,192.168.77.21,49737,6,16/04/2025 04:28:30 PM,123826,0,2,0.0,364.0,0,0,0,0,364.0,0.0,182.0,257.3868683519033,2939.6088059050603,16.15169673574209,123826.0,0.0,123826.0,123826.0,0,0,0,0,0,123826.0,123826.0,0.0,123826.0,123826.0,0,0,0,0,0,40,0.0,16.15169673574209,0.0,364.0,121.33333333333333,210.15549798502377,44165.33333333333,0,0,0,0,1,0,0,0,0.0,182.0,0.0,182.0,0,0,0,0,0,0,0,0,2,364,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-204.79.197.203-49733-443-6,204.79.197.203,443,192.168.77.21,49733,6,16/04/2025 04:28:30 PM,123571,0,2,0.0,357.0,0,0,0,0,357.0,0.0,178.5,252.43712088359746,2889.0273607885347,16.185027231308318,123571.0,0.0,123571.0,123571.0,0,0,0,0,0,123571.0,123571.0,0.0,123571.0,123571.0,0,0,0,0,0,40,0.0,16.185027231308318,0.0,357.0,119.0,206.11404610069638,42483.0,0,0,0,0,1,0,0,0,0.0,178.5,0.0,178.5,0,0,0,0,0,0,0,0,2,357,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-13.107.42.16-49734-443-6,192.168.77.21,49734,13.107.42.16,443,6,16/04/2025 04:28:31 PM,691778,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8911009023125915,691778.0,0.0,691778.0,691778.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.4455504511562958,1.4455504511562958,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,62812,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-13.107.42.16-49734-443-6,13.107.42.16,443,192.168.77.21,49734,6,16/04/2025 04:28:31 PM,17149,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.62487608606915,17149.0,0.0,17149.0,17149.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,58.312438043034575,58.312438043034575,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49741-443-6,192.168.77.21,49741,8.8.4.4,443,6,16/04/2025 04:28:30 PM,1279933,4,2,1784.0,0.0,1784.0,0.0,446.0,892.0,0.0,0.0,0.0,0.0,1393.8229579204537,4.6877453741719295,255986.6,424530.23480583803,1001685.0,76.0,278248.0,92749.33333333334,98435.42489537664,202127.0,11285.0,1066445.0,1066445.0,0.0,1066445.0,1066445.0,0,0,0,0,92,56,3.125163582781286,1.562581791390643,0.0,1784.0,254.85714285714283,674.2886198484613,454665.1428571428,0,1,0,0,0,0,0,0,0.0,297.3333333333333,446.0,0.0,0,0,0,0,0,0,4,1784,2,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49744-443-6,192.168.77.21,49744,8.8.8.8,443,6,16/04/2025 04:28:31 PM,1235346,4,2,3212.0,0.0,1752.0,0.0,803.0,934.8561386651959,0.0,0.0,0.0,0.0,2600.0812727770194,4.8569388657104975,247069.2,250701.44538614052,539207.0,75.0,1001957.0,333985.6666666667,289435.74587519997,539207.0,2932.0,233314.0,233314.0,0.0,233314.0,233314.0,0,0,0,0,80,56,3.237959243806998,1.618979621903499,0.0,1752.0,458.8571428571428,788.1682198979751,621209.1428571428,0,1,0,0,0,0,0,0,0.0,535.3333333333334,803.0,0.0,0,0,0,0,0,0,4,3212,2,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
150.171.28.11-192.168.77.21-80-49746-6,192.168.77.21,49746,150.171.28.11,80,6,16/04/2025 04:28:32 PM,813801,6,4,1306.0,1708.0,653.0,0.0,217.66666666666666,337.2077500097924,854.0,0.0,427.0,493.0571298879404,3703.608130243143,12.288016357807376,90422.33333333334,94446.07423551283,255284.0,95.0,783987.0,156797.4,89989.0899014986,255284.0,18422.0,795284.0,265094.6666666667,279358.9199798949,573803.0,29711.0,0,0,0,0,120,96,7.372809814684425,4.915206543122951,0.0,854.0,274.00000000000006,385.4366355187322,148561.40000000002,0,1,0,0,0,0,0,0,0.0,301.4,217.66666666666666,427.0,0,0,0,0,0,0,6,1306,4,1708,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49742-443-6,192.168.77.21,49742,8.8.4.4,443,6,16/04/2025 04:28:30 PM,2687915,13,9,6880.0,6716.0,1720.0,0.0,529.2307692307693,702.0738510354109,1412.0,0.0,746.2222222222222,708.6031642918655,5058.195664669456,8.184782628914977,127995.9523809524,182286.64154580174,601536.0,49.0,2643790.0,220315.83333333334,198524.8384184221,601536.0,29688.0,2502043.0,312755.37500000006,435780.29892921884,1068174.0,27970.0,0,0,0,0,260,196,4.836462462540668,3.3483201663743087,0.0,1720.0,591.1304347826085,692.4123380254011,479434.84584980237,0,1,0,0,0,0,0,0,0.0,618.0,529.2307692307693,746.2222222222222,0,0,0,0,0,0,13,6880,9,6716,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-20.189.173.7-49745-443-6,192.168.77.21,49745,20.189.173.7,443,6,16/04/2025 04:28:32 PM,1601691,8,7,2693.0,4479.0,1769.0,0.0,336.62500000000006,620.6604633084709,1460.0,0.0,639.8571428571429,767.9714466418285,4477.767559410648,9.36510225755155,114406.5,157675.1248479217,516080.0,59.0,1369083.0,195583.28571428574,206061.86207197933,581155.0,2098.0,1585688.0,264281.3333333333,290911.6156441105,832210.0,2108.0,0,0,0,0,160,156,4.994721204027494,4.370381053524057,0.0,1769.0,448.25000000000006,672.944722841334,452854.6,0,1,0,0,0,0,0,0,0.0,478.1333333333333,336.625,639.8571428571429,0,0,0,0,0,0,8,2693,7,4479,-1,64240,3,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49743-443-6,192.168.77.21,49743,8.8.4.4,443,6,16/04/2025 04:28:31 PM,2266676,21,14,4534.0,9498.0,1752.0,0.0,215.9047619047619,480.1114354774217,1460.0,0.0,678.4285714285714,671.4678197553721,6190.562744741639,15.44111288953516,66666.9411764706,116087.55525319286,460988.0,35.0,2179793.0,108989.65,136771.73533887728,460988.0,211.0,1187907.0,91377.46153846153,120460.08609813142,407901.0,1062.0,0,0,0,0,420,296,9.264667733721097,6.176445155814065,0.0,1752.0,389.7777777777778,595.811624646156,354991.49206349195,0,1,0,0,0,0,0,0,0.0,400.9142857142857,215.9047619047619,678.4285714285714,0,0,0,0,0,0,21,4534,14,9498,-1,64240,11,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49740-443-6,192.168.77.21,49740,8.8.8.8,443,6,16/04/2025 04:28:30 PM,3040444,23,17,6022.0,10397.0,1816.0,0.0,261.8260869565217,533.3694482996253,1460.0,0.0,611.5882352941178,695.649342235685,5400.1981289574815,13.155973272324701,77960.10256410256,216727.94034296778,1298582.0,39.0,3015131.0,137051.4090909091,279352.8555120377,1298657.0,220.0,2579576.0,161223.5,317729.7712560156,1298637.0,1589.0,0,0,0,0,460,356,7.564684631586703,5.591288640737997,0.0,1816.0,400.4634146341464,619.7109042755733,384041.60487804876,0,1,0,0,0,0,0,0,0.0,410.475,261.82608695652175,611.5882352941177,0,0,0,0,0,0,23,6022,17,10397,-1,64240,13,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49739-443-6,192.168.77.21,49739,8.8.8.8,443,6,16/04/2025 04:28:30 PM,3051876,24,19,3962.0,9277.0,1784.0,0.0,165.08333333333337,369.1175041691439,1460.0,0.0,488.2631578947369,584.3013722106525,4337.987519807489,14.089694338826348,72663.7142857143,164515.67709777923,937552.0,26.0,3025487.0,131542.91304347824,206835.4716681206,937552.0,186.0,2953453.0,164080.72222222222,294252.8812482867,994372.0,238.0,0,0,0,0,480,396,7.864015444926333,6.225678893900014,0.0,1784.0,300.8863636363636,493.6641931755621,243704.3356236787,0,1,0,0,0,0,0,0,0.0,307.8837209302326,165.08333333333334,488.2631578947368,0,0,0,0,0,0,24,3962,19,9277,-1,64240,12,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49743-443-6,192.168.77.21,49743,8.8.4.4,443,6,16/04/2025 04:28:33 PM,31132,0,3,0.0,70.0,0,0,0,0,70.0,0.0,23.333333333333336,40.414518843273804,2248.4902993704227,96.36386997301811,15566.0,2218.901079363386,17135.0,13997.0,0,0,0,0,0,31132.0,15566.0,2218.901079363386,17135.0,13997.0,0,1,0,0,0,60,0.0,96.36386997301811,0.0,70.0,35.0,40.414518843273804,1633.3333333333333,1,0,0,1,1,0,0,0,0.0,46.666666666666664,0.0,23.333333333333332,0,0,0,0,0,0,0,0,3,70,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49743-443-6,192.168.77.21,49743,8.8.4.4,443,6,16/04/2025 04:28:33 PM,103709,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19.284729387034876,103709.0,0.0,103709.0,103709.0,0,0,0,0,0,103709.0,103709.0,0.0,103709.0,103709.0,0,0,0,0,0,40,0.0,19.284729387034876,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
150.171.28.11-192.168.77.21-80-49746-6,150.171.28.11,80,192.168.77.21,49746,6,16/04/2025 04:28:33 PM,308013,0,3,0.0,854.0,0,0,0,0,854.0,0.0,284.66666666666663,493.0571298879404,2772.6102469700954,9.739848642752092,154006.5,217758.48301386563,307985.0,28.0,0,0,0,0,0,308013.0,154006.5,217758.48301386563,307985.0,28.0,0,1,0,0,0,60,0.0,9.739848642752092,0.0,854.0,426.99999999999994,493.0571298879404,243105.33333333334,0,0,0,1,1,0,0,0,0.0,569.3333333333334,0.0,284.6666666666667,0,0,0,0,0,0,0,0,3,854,-1,63386,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49743-443-6,192.168.77.21,49743,8.8.4.4,443,6,16/04/2025 04:28:34 PM,100047,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19.990604415924516,100047.0,0.0,100047.0,100047.0,0,0,0,0,0,100047.0,100047.0,0.0,100047.0,100047.0,0,0,0,0,0,40,0.0,19.990604415924516,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49750-443-6,192.168.77.21,49750,8.8.8.8,443,6,16/04/2025 04:28:34 PM,235865,6,5,2244.0,1506.0,2170.0,0.0,374.0,880.3544740614432,1459.0,0.0,301.2,647.5497664272608,15898.925232654274,46.6368473491192,23586.5,34908.95195998362,87288.0,43.0,203620.0,40724.0,44378.63629608283,91086.0,2973.0,215027.0,53756.75,39549.794414762764,87288.0,8874.0,0,0,0,0,120,116,25.438280372246837,21.198566976872364,0.0,2170.0,312.5,718.1662886698443,515762.8181818181,0,1,0,0,0,0,0,0,0.0,340.90909090909093,374.0,301.2,0,0,0,0,0,0,6,2244,5,1506,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49748-443-6,192.168.77.21,49748,8.8.8.8,443,6,16/04/2025 04:28:34 PM,256642,4,5,1752.0,2872.0,1752.0,0.0,438.0,876.0,1460.0,0.0,574.4,786.7126540230556,18017.31594984453,35.068305265700864,32080.25,52961.1145484523,153275.0,26.0,103177.0,34392.33333333333,33793.62162203592,68504.0,926.0,255690.0,63922.5,64274.21692249545,153275.0,383.0,0,0,0,0,80,116,15.585913451422606,19.482391814278255,0.0,1752.0,462.40000000000003,749.5710180570692,561856.7111111111,0,1,0,0,0,0,0,0,1.0,513.7777777777778,438.0,574.4,0,0,0,0,0,0,4,1752,5,2872,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49740-443-6,192.168.77.21,49740,8.8.8.8,443,6,16/04/2025 04:28:34 PM,394548,1,2,0.0,39.0,0.0,0.0,0.0,0.0,39.0,0.0,19.5,27.577164466275352,98.8472885428389,7.603637580218376,197274.0,275502.94408590265,392084.0,2464.0,0,0,0,0,0,2464.0,2464.0,0.0,2464.0,2464.0,0,1,0,0,20,40,2.534545860072792,5.069091720145584,0.0,39.0,19.5,22.516660498395403,507.0,1,0,0,1,1,0,0,0,2.0,26.0,0.0,19.5,0,0,0,0,0,0,1,0,2,39,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49740-443-6,8.8.8.8,443,192.168.77.21,49740,6,16/04/2025 04:28:34 PM,124988,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.00153614747016,124988.0,0.0,124988.0,124988.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8.00076807373508,8.00076807373508,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
150.171.28.11-192.168.77.21-80-49746-6,192.168.77.21,49746,150.171.28.11,80,6,16/04/2025 04:28:34 PM,265632,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.529213347789423,265632.0,0.0,265632.0,265632.0,0,0,0,0,0,265632.0,265632.0,0.0,265632.0,265632.0,0,0,0,0,0,40,0.0,7.529213347789423,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.4.4-49743-443-6,192.168.77.21,49743,8.8.4.4,443,6,16/04/2025 04:28:34 PM,1101128,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.8163192653351834,1101128.0,0.0,1101128.0,1101128.0,0,0,0,0,0,1101128.0,1101128.0,0.0,1101128.0,1101128.0,0,0,0,0,0,40,0.0,1.8163192653351834,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
