Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.5-35.215.191.61-63174-50003-17,192.168.1.5,63174,35.215.191.61,50003,17,23/05/2025 07:51:22 PM,10867484,4528,383,4569157.0,19736.0,1216.0,8.0,1009.0894434628998,361.24734719129754,120.0,8.0,51.53002610966059,25.453139609248662,422259.00677654555,451.89852591455394,2213.3368635437923,4789.24936820617,21700.0,-3.0,1.0857983E7,2398.4941462337088,5261.492858684449,21700.0,8.0,1.0867076E7,28447.84293193717,28711.023921774067,124387.0,0.0,0,0,0,0,36224,3064,416.655777915109,35.24274799944495,8.0,1216.0,934.2331026058636,431.7797767677868,186433.7756256398,0,0,0,0,0,0,0,0,0.0,934.4233353695785,1009.0894434628975,51.530026109660575,0,0,0,0,0,0,4528,4569157,383,19736,-1,-1,4528,0,0,0,0,0,0,0,0,0,No Label
163.70.159.6-192.168.1.5-443-60357-6,192.168.1.5,60357,163.70.159.6,443,6,23/05/2025 07:51:28 PM,992088,61,77,20330.0,18513.0,1392.0,0.0,333.2786885245903,481.13051351816307,1392.0,0.0,240.42857142857142,486.99787713174584,39152.77676980268,139.10056365967534,7241.5182481751835,17843.34742694212,123288.0,0.0,901728.0,15028.800000000003,32645.691909201563,150645.0,0.0,992088.0,13053.78947368421,24871.919784536552,127444.0,0.0,0,0,0,0,1220,1564,61.48648103797244,77.61408262170292,0.0,1392.0,279.4460431654676,483.69028557271895,233956.29235741842,0,1,0,0,0,0,0,0,1.0,281.4710144927536,333.27868852459017,240.42857142857142,0,0,0,0,0,0,61,20330,77,18513,-1,581,47,0,0,0,0,0,0,0,0,0,No Label
163.70.159.35-192.168.1.5-443-52632-17,192.168.1.5,52632,163.70.159.35,443,17,23/05/2025 07:51:31 PM,226331,4,5,2277.0,2124.0,1244.0,35.0,569.25,624.0402631241033,1040.0,48.0,424.8,517.1645772865733,19444.972186753028,39.764769298063456,28291.375,38171.08871136261,115223.0,20.0,179485.0,59828.333333333336,70345.50413731736,137332.0,20.0,226331.0,56582.75,42326.09772055534,115223.0,22173.0,0,0,0,0,32,40,17.673230799139315,22.09153849892414,35.0,1244.0,534.1,523.614033000984,274171.65555555554,0,0,0,0,0,0,0,0,1.0,593.4444444444445,569.25,424.8,0,0,0,0,0,0,4,2277,5,2124,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
163.70.159.7-192.168.1.5-443-49301-6,163.70.159.7,443,192.168.1.5,49301,6,23/05/2025 07:51:26 PM,26808,1,2,0.0,212.0,0.0,0.0,0.0,0.0,178.0,34.0,106.0,101.82337649086284,7908.087138167712,111.90689346463743,13404.0,16765.501781933042,25259.0,1549.0,0,0,0,0,0,1549.0,1549.0,0.0,1549.0,1549.0,0,1,0,0,20,40,37.30229782154581,74.60459564309161,0.0,178.0,97.5,93.98404119849285,8833.0,0,0,0,1,1,0,0,0,2.0,130.0,0.0,106.0,0,0,0,0,0,0,1,0,2,212,-1,515,0,0,0,0,0,0,0,0,0,0,No Label
163.70.159.7-192.168.1.5-443-49293-6,192.168.1.5,49293,163.70.159.7,443,6,23/05/2025 07:51:30 PM,230030,1,3,0.0,60.0,0.0,0.0,0.0,0.0,32.0,0.0,20.0,17.435595774162696,260.83554319001865,17.38903621266791,76676.66666666667,73856.31642813858,161236.0,24803.0,0,0,0,0,0,186039.0,93019.5,96472.69947762424,161236.0,24803.0,0,1,0,0,20,60,4.347259053166978,13.041777159500933,0.0,32.0,18.4,16.87601848778319,284.79999999999995,0,0,0,1,1,0,0,0,3.0,23.0,0.0,20.0,0,0,0,0,0,0,1,0,3,60,-1,300,0,0,0,0,0,0,0,0,0,0,No Label
163.70.159.6-192.168.1.5-443-60354-6,163.70.159.6,443,192.168.1.5,60354,6,23/05/2025 07:51:28 PM,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,566,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2025 07:51:23 PM,9113376,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6583729234917992,1822675.2000000002,2058657.0143714326,5017468.0,19.0,9113342.0,2278335.5,2065570.8356578657,5017468.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0.5486441029098327,0.10972882058196655,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,2047885.0,0.0,2047885.0,2047885.0,5017468.0,0.0,5017468.0,5017468.0,No Label
192.168.1.5-35.186.224.45-49235-443-6,192.168.1.5,49235,35.186.224.45,443,6,23/05/2025 07:51:23 PM,81279,1,3,0.0,83.0,0.0,0.0,0.0,0.0,43.0,0.0,27.666666666666668,24.00694344004112,1021.1739809790967,49.21320390260707,27093.0,16771.06159430583,41167.0,8536.0,0,0,0,0,0,40112.0,20056.0,16291.740238538056,31576.0,8536.0,0,1,0,0,20,60,12.303300975651768,36.9099029269553,0.0,43.0,25.2,23.03692687838376,530.7,0,0,0,1,1,0,0,0,3.0,31.5,0.0,27.666666666666668,0,0,0,0,0,0,1,0,3,83,-1,1049,0,0,0,0,0,0,0,0,0,0,No Label
162.159.137.234-192.168.1.5-443-60268-6,192.168.1.5,60268,162.159.137.234,443,6,23/05/2025 07:51:23 PM,78862,1,2,0.0,129.0,0.0,0.0,0.0,0.0,73.0,56.0,64.5,12.020815280171307,1635.7688113413303,38.0411351474728,39431.0,17657.870539790463,51917.0,26945.0,0,0,0,0,0,26945.0,26945.0,0.0,26945.0,26945.0,0,1,0,0,20,40,12.680378382490932,25.360756764981865,0.0,73.0,50.5,34.60732099811637,1197.6666666666665,0,0,0,1,1,0,0,0,2.0,67.33333333333333,0.0,64.5,0,0,0,0,0,0,1,0,2,129,-1,8,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.5-18.67.216.87-60358-443-6,192.168.1.5,60358,18.67.216.87,443,6,23/05/2025 07:51:30 PM,410002,7,9,1024.0,819.0,643.0,0.0,146.2857142857143,244.86915845386648,415.0,0.0,91.0,150.15075757384642,4495.100023902322,39.024199881951795,27333.466666666667,58840.459729031776,229958.0,0.0,387610.0,64601.66666666667,113781.82690863541,290602.0,544.0,354786.0,44348.25,77162.98012787146,229958.0,0.0,0,0,0,0,140,204,17.07308744835391,21.951112433597885,0.0,643.0,108.41176470588235,187.8580111492219,35290.63235294118,0,1,0,0,0,0,0,0,1.0,115.1875,146.28571428571428,91.0,0,0,0,0,0,0,7,1024,9,819,-1,134,4,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-224.0.0.1-0-0-0,192.168.1.1,0,224.0.0.1,0,0,23/05/2025 07:51:29 PM,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.5-18.67.216.87-60360-443-6,192.168.1.5,60360,18.67.216.87,443,6,23/05/2025 07:51:30 PM,397089,7,8,992.0,840.0,643.0,0.0,141.71428571428572,241.7786275953786,436.0,0.0,105.0,162.37610661670638,4613.575294203566,37.77490688485452,28363.5,60416.90522432124,229557.0,0.0,374762.0,62460.33333333333,108454.7237858576,277024.0,400.0,349622.0,49946.0,80956.36359586976,229685.0,0.0,0,0,0,0,140,184,17.62828987959878,20.14661700525575,0.0,643.0,114.5,192.2359661110966,36954.66666666667,0,1,0,0,0,0,0,0,1.0,122.13333333333334,141.71428571428572,105.0,0,0,0,0,0,0,7,992,8,840,-1,134,4,0,0,0,0,0,0,0,0,0,No Label
192.168.1.5-34.120.195.249-60149-443-6,192.168.1.5,60149,34.120.195.249,443,6,23/05/2025 07:51:33 PM,22496,0,2,0.0,1.0,0,0,0,0,1.0,0.0,0.5,0.7071067811865476,44.452347083926036,88.90469416785207,22496.0,0.0,22496.0,22496.0,0,0,0,0,0,22496.0,22496.0,0.0,22496.0,22496.0,0,0,0,0,0,52,0.0,88.90469416785207,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,1029,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.5-108.157.14.121-60361-443-6,192.168.1.5,60361,108.157.14.121,443,6,23/05/2025 07:51:31 PM,19440,6,9,1020.0,3871.0,657.0,0.0,170.0,262.2403477728017,1440.0,0.0,430.1111111111111,603.0624852460242,251594.65020576134,771.604938271605,1388.5714285714287,1676.4787141866368,4119.0,0.0,15251.0,3050.2,2520.715910212811,5623.0,364.0,19326.0,2415.75,3028.8580945866142,7454.0,0.0,0,0,0,0,120,204,308.641975308642,462.962962962963,0.0,1440.0,305.6875,489.6643365612816,239771.1625,0,1,0,0,0,0,0,0,1.0,326.06666666666666,170.0,430.1111111111111,0,0,0,0,0,0,6,1020,9,3871,-1,134,4,0,0,0,0,0,0,0,0,0,No Label
162.159.130.234-192.168.1.5-443-55366-6,162.159.130.234,443,192.168.1.5,55366,6,23/05/2025 07:51:22 PM,9124540,11,13,718.0,73.0,98.0,46.0,65.27272727272727,19.6727776843582,73.0,0.0,5.615384615384616,20.246557162220864,86.68930159766958,2.6302695807131102,396719.1304347826,601799.379464566,2132994.0,40256.0,8937815.0,893781.5,701734.2574992727,2184789.0,151359.0,9124540.0,760378.3333333335,708184.2771158229,2180254.0,50436.0,0,1,0,0,220,260,1.2055402244935087,1.4247293562196013,0.0,98.0,34.559999999999995,36.24808040894487,1313.9233333333332,0,0,0,1,1,0,0,0,1.0,36.0,65.27272727272727,5.615384615384615,0,0,0,0,0,0,11,718,13,73,-1,512,11,0,0,0,0,0,0,0,0,0,No Label
