Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP
443,886259,1,1,0,0,0,0,0,0,0,0,0,0,0,2.25667666,886259,0,886259,886259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.12833833,1.12833833,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0,192.168.77.21
443,20095091,11,13,447,4310,196,0,40.63636364,67.18671405,1460,0,331.5384615,569.9332732,236.7244816,1.194321539,873699.6087,4149843.195,19910232,29,169289,16928.9,19133.82568,48067,331,20095091,1674590.917,5742769.574,19910232,355,0,0,0,0,220,276,0.547397372,0.646924167,0,1460,190.28,432.288534,186873.3767,0,1,0,0,0,0,0,0,1,198.2083333,40.63636364,331.5384615,220,-1,64240,4,0,0,0,0,0,0,0,0,0,192.168.77.21
443,45833,0,3,0,0,0,0,0,0,0,0,0,0,0,65.45502149,22916.5,27033.39935,42032,3801,0,0,0,0,0,45833,22916.5,27033.39935,42032,3801,0,0,0,0,0,60,0,65.45502149,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,64239,0,0,0,0,0,0,0,0,0,0,192.168.77.21
443,2641,0,2,0,0,0,0,0,0,0,0,0,0,0,757.2889057,2641,0,2641,2641,0,0,0,0,0,2641,2641,0,2641,2641,0,0,0,0,0,40,0,757.2889057,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,64239,0,0,0,0,0,0,0,0,0,0,192.168.77.21
80,15419760,5,2,0,0,0,0,0,0,0,0,0,0,0,0.453962967,2569960,3019922.522,8000118,40,14394821,3598705.25,3285048.948,8000118,387981,15419720,15419720,0,15419720,15419720,0,0,0,0,148,56,0.324259262,0.129703705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,148,-1,64240,0,0,7031661,0,7031661,7031661,8000118,0,8000118,8000118,192.168.77.21
53,35846,0,2,0,157,0,0,0,0,118,39,78.5,55.86143571,4379.847124,55.79423088,35846,0,35846,35846,0,0,0,0,0,35846,35846,0,35846,35846,0,0,0,0,0,16,0,55.79423088,39,118,65.33333333,45.61067127,2080.333333,0,0,0,0,0,0,0,0,0,98,0,78.5,0,-1,-1,0,0,0,0,0,0,0,0,0,0,192.168.77.21
80,35780199,13320,7945,666000,50,50,50,50,0,50,0,0.006293266,0.560948581,18615.04459,594.3231339,1682.665491,6449.54997,199801,0,35776372,2686.115474,7994.245012,199801,0,35780199,4504.053248,198396.2764,17684570,22,0,0,0,0,266400,158900,372.2729435,222.0501904,0,50,31.3222985,24.18793197,585.056053,0,1,0,0,0,0,0,0,0,31.32377146,50,0.006293266,266400,-1,0,13320,0,0,0,0,0,0,0,0,0,192.168.77.11
69,22028011,2,1,44,22,22,22,22,0,22,22,22,0,2.996185175,0.136190235,11014005.5,2825112.915,13011662,9016349,13011662,13011662,0,13011662,13011662,0,0,0,0,0,0,0,0,0,16,8,0.09079349,0.045396745,22,22,22,0,0,0,0,0,0,0,0,0,0,0,29.33333333,22,22,16,-1,-1,2,0,0,0,0,0,11014005.5,2825112.915,13011662,9016349,192.168.77.1
80,21664419,711,721,3987,1031863,443,0,5.607594937,49.55980196,1460,0,1431.15534,173.993904,47813.42163,66.09916472,15139.35639,117928.4262,2294486,0,21611758,30439.09577,166744.8652,2294556,90,21664371,30089.40417,168897.8651,2294542,0,0,0,0,0,14220,14436,32.81878919,33.28037553,0,1460,722.8541521,724.4489345,524826.2587,0,1,0,0,0,0,0,0,1,723.3589385,5.607594937,1431.15534,14220,-1,64240,9,0,0,0,0,0,0,0,0,0,192.168.77.21
80,21771890,770,791,4884,1129391,444,0,6.342857143,52.72197467,1460,0,1427.801517,190.511536,52098.14123,71.69795548,13956.33974,100678.9202,1998135,0,21719334,28243.60728,142407.6735,1998214,32,21771826,27559.27342,145347.833,1998202,0,0,0,0,0,15400,15836,35.3667045,36.33125098,0,1460,726.1683739,724.65186,525120.3182,0,1,0,0,0,0,0,0,1,726.6335682,6.342857143,1427.801517,15400,-1,64240,11,0,0,0,0,0,0,0,0,0,192.168.77.21
49814,19005552,372,344,523840,3680,1460,0,1408.172043,231.220732,1460,0,10.69767442,94.72859125,27756.0999,37.67320202,26581.19161,296000.336,6806411,0,12198836,32880.95957,212504.4223,3001496,0,19005552,55409.77259,425847.736,6806411,19,0,0,0,0,7440,6880,19.57322787,18.09997415,0,1460,737.7684798,721.2610538,520217.5078,0,0,0,0,1,0,0,0,0,738.7988827,1408.172043,10.69767442,7440,-1,0,367,0,12199141,0,12199141,12199141,6806411,0,6806411,6806411,163.181.199.174
443,246376,1,2,0,321,0,0,0,0,239,82,160.5,111.0157646,1302.886645,12.1765107,123188,174105.2459,246299,77,0,0,0,0,0,246299,246299,0,246299,246299,0,1,0,0,20,40,4.0588369,8.117673799,0,239,100.75,99.94456797,9988.916667,0,0,0,1,1,0,0,0,2,134.3333333,0,160.5,20,-1,64240,0,0,0,0,0,0,0,0,0,0,192.168.77.21
0,108668717,19,1,0,0,0,0,0,0,0,0,0,0,0,0.184045607,5719406.158,15899685.83,67666917,998953,84666425,4703690.278,15713549.86,67666917,998953,0,0,0,0,0,0,0,0,0,0,0,0.174843327,0.00920228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,16999508,0,16999508,16999508,45834604.5,30875552.44,67666917,24002292,8.6.0.1
49816,24377516,390,392,558808,2786,1460,0,1432.841026,166.6138814,1460,0,7.107142857,83.06610777,23037.37592,32.0787401,31213.20871,324771.9431,7989398,0,22970539,59050.22879,454568.0943,7989465,0,24377516,62346.58824,457189.4933,7989480,38,0,0,0,0,7800,7840,15.99834864,16.08039146,0,1460,719.0983397,725.3536358,526137.897,0,0,0,0,1,0,0,0,1,720.0179028,1432.841026,7.107142857,7800,-1,0,389,0,24967,0,24967,24967,7989398,0,7989398,7989398,163.181.199.174
80,94275596,1800,2597,14018,3651163,335,0,7.787777778,50.39888104,1460,0,1405.915672,264.5174929,38877.30394,46.63985365,21445.76797,189138.6285,3077830,0,94228781,52378.4219,292995.257,3077830,39,91308903,35172.92103,238995.8535,3081951,0,0,0,0,0,36000,51956,19.09295805,27.54689559,0,1460,833.3744884,717.7337937,515141.7985,0,1,0,0,0,0,0,0,1,833.5640209,7.787777778,1405.915672,36000,-1,64240,42,0,0,0,0,0,0,0,0,0,192.168.77.21
