Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Prediction
50003,10867484,4528,383,4569157,19736,1216,8,1009.089443,361.2473472,120,8,51.53002611,25.45313961,422259.0068,451.8985259,2213.336864,4789.249368,21700,-3,10857983,2398.494146,5261.492859,21700,8,10867076,28447.84293,28711.02392,124387,0,0,0,0,0,36224,3064,416.6557779,35.242748,8,1216,934.2331026,431.7797768,186433.7756,0,0,0,0,0,0,0,0,0,934.4233354,1009.089443,51.53002611,36224,-1,-1,4528,0,0,0,0,0,0,0,0,0,0
443,992088,61,77,20330,18513,1392,0,333.2786885,481.1305135,1392,0,240.4285714,486.9978771,39152.77677,139.1005637,7241.518248,17843.34743,123288,0,901728,15028.8,32645.69191,150645,0,992088,13053.78947,24871.91978,127444,0,0,0,0,0,1220,1564,61.48648104,77.61408262,0,1392,279.4460432,483.6902856,233956.2924,0,1,0,0,0,0,0,0,1,281.4710145,333.2786885,240.4285714,1220,-1,581,47,0,0,0,0,0,0,0,0,0,0
443,226331,4,5,2277,2124,1244,35,569.25,624.0402631,1040,48,424.8,517.1645773,19444.97219,39.7647693,28291.375,38171.08871,115223,20,179485,59828.33333,70345.50414,137332,20,226331,56582.75,42326.09772,115223,22173,0,0,0,0,32,40,17.6732308,22.0915385,35,1244,534.1,523.614033,274171.6556,0,0,0,0,0,0,0,0,1,593.4444444,569.25,424.8,32,-1,-1,4,0,0,0,0,0,0,0,0,0,0
49301,26808,1,2,0,212,0,0,0.0,0.0,178,34,106.0,101.8233765,7908.087138,111.9068935,13404.0,16765.50178,25259,1549,0,0.0,0.0,0,0,1549,1549.0,0.0,1549,1549,0,1,0,0,20,40,37.30229782,74.60459564,0,178,97.5,93.9840412,8833.0,0,0,0,1,1,0,0,0,2,130.0,0.0,106.0,20,-1,515,0,0,0,0,0,0,0,0,0,0,0
443,230030,1,3,0,60,0,0,0.0,0.0,32,0,20.0,17.43559577,260.8355432,17.38903621,76676.66667,73856.31643,161236,24803,0,0.0,0.0,0,0,186039,93019.5,96472.69948,161236,24803,0,1,0,0,20,60,4.347259053,13.04177716,0,32,18.4,16.87601849,284.8,0,0,0,1,1,0,0,0,3,23.0,0.0,20.0,20,-1,300,0,0,0,0,0,0,0,0,0,0,0
0,9113376,5,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.658372923,1822675.2,2058657.014,5017468,19,9113342,2278335.5,2065570.836,5017468,19,0,0.0,0.0,0,0,0,0,0,0,0,0,0.548644103,0.109728821,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,-1,-1,0,0,2047885,0,2047885,2047885,5017468,0,5017468,5017468,1
443,81279,1,3,0,83,0,0,0.0,0.0,43,0,27.66666667,24.00694344,1021.173981,49.2132039,27093.0,16771.06159,41167,8536,0,0.0,0.0,0,0,40112,20056.0,16291.74024,31576,8536,0,1,0,0,20,60,12.30330098,36.90990293,0,43,25.2,23.03692688,530.7,0,0,0,1,1,0,0,0,3,31.5,0.0,27.66666667,20,-1,1049,0,0,0,0,0,0,0,0,0,0,0
443,78862,1,2,0,129,0,0,0.0,0.0,73,56,64.5,12.02081528,1635.768811,38.04113515,39431.0,17657.87054,51917,26945,0,0.0,0.0,0,0,26945,26945.0,0.0,26945,26945,0,1,0,0,20,40,12.68037838,25.36075676,0,73,50.5,34.607321,1197.666667,0,0,0,1,1,0,0,0,2,67.33333333,0.0,64.5,20,-1,8,0,0,0,0,0,0,0,0,0,0,0
443,410002,7,9,1024,819,643,0,146.2857143,244.8691585,415,0,91.0,150.1507576,4495.100024,39.02419988,27333.46667,58840.45973,229958,0,387610,64601.66667,113781.8269,290602,544,354786,44348.25,77162.98013,229958,0,0,0,0,0,140,204,17.07308745,21.95111243,0,643,108.4117647,187.8580111,35290.63235,0,1,0,0,0,0,0,0,1,115.1875,146.2857143,91.0,140,-1,134,4,0,0,0,0,0,0,0,0,0,0
443,397089,7,8,992,840,643,0,141.7142857,241.7786276,436,0,105.0,162.3761066,4613.575294,37.77490688,28363.5,60416.90522,229557,0,374762,62460.33333,108454.7238,277024,400,349622,49946.0,80956.3636,229685,0,0,0,0,0,140,184,17.62828988,20.14661701,0,643,114.5,192.2359661,36954.66667,0,1,0,0,0,0,0,0,1,122.1333333,141.7142857,105.0,140,-1,134,4,0,0,0,0,0,0,0,0,0,0
