Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,19491630,14,14,1328,9026,538,0,94.85714286,193.0862132,1460,0,644.7142857,642.3500637,531.2023674,1.436514032,721912.2222,2115629.172,10576808,37,8888159,683704.5385,1020830.361,3013920,1015,19491630,1499356.154,3482561.121,12659290,1025,0,1,0,0,280,280,0.718257016,0.718257016,0,1460,364.5862069,534.0879754,285249.9655,0,0,0,1,1,0,0,0,1,377.6071429,94.85714286,644.7142857,280,-1,64240,4,0,0,0,0,0,0,0,0,0,0
443,322492,0,2,0,321,0,0,0,0,321,0,160.5,226.9812768,995.3735286,6.201704228,322492,0,322492,322492,0,0,0,0,0,322492,322492,0,322492,322492,0,0,0,0,0,40,0,6.201704228,0,321,107,185.3294364,34347,0,0,1,0,0,0,0,0,0,160.5,0,160.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0,0
443,232359,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,133.4142426,8.607370491,232359,0,232359,232359,0,0,0,0,0,232359,232359,0,232359,232359,0,0,0,0,0,40,0,8.607370491,0,31,10.33333333,17.89785834,320.3333333,1,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
443,14854249,32,23,11601,18789,1608,0,362.53125,604.781698,1460,0,816.9130435,712.2785406,2045.879263,3.702644274,275078.6852,661891.0374,4011531,20,13830238,446136.7097,819357.075,4011593,207,14675401,667063.6818,1058844.192,4011569,249,0,0,0,0,660,488,2.154265759,1.548378514,0,1608,542.6785714,681.7462366,464777.9312,0,1,0,0,0,0,0,0,0,552.5454545,362.53125,816.9130435,660,-1,64240,13,0,0,0,0,0,0,0,0,0,0
443,196639,0,3,0,0,0,0,0,0,0,0,0,0,0,15.25638353,98319.5,136077.7503,194541,2098,0,0,0,0,0,196639,98319.5,136077.7503,194541,2098,0,0,0,0,0,60,0,15.25638353,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
443,3116713,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,9.946376198,0.64170169,3116713,0,3116713,3116713,0,0,0,0,0,3116713,3116713,0,3116713,3116713,0,0,0,0,0,40,0,0.64170169,0,31,10.33333333,17.89785834,320.3333333,0,0,1,0,1,0,0,0,0,15.5,0,15.5,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
443,1324596,0,2,0,0,0,0,0,0,0,0,0,0,0,1.509894338,1324596,0,1324596,1324596,0,0,0,0,0,1324596,1324596,0,1324596,1324596,0,0,0,0,0,40,0,1.509894338,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
443,24345307,17,15,1039,6873,197,0,61.11764706,85.37555443,1460,0,458.2,616.4194073,324.9907672,1.314421708,785332.4839,3691474.407,20626008,40,3705573,231598.3125,330807.9097,1111541,1827,24345307,1738950.5,5452337.343,20626008,1827,0,0,0,0,340,320,0.698286532,0.616135175,0,1460,239.7575758,459.3470931,210999.7519,0,1,0,0,0,0,0,0,0,247.25,61.11764706,458.2,340,-1,64240,7,0,0,0,0,0,0,0,0,0,0
443,2239,1,1,0,0,0,0,0,0,0,0,0,0,0,893.2559178,2239,0,2239,2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,446.6279589,446.6279589,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0,0
443,703229,1,1,0,0,0,0,0,0,0,0,0,0,0,2.844023782,703229,0,703229,703229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1.422011891,1.422011891,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,65535,0,0,0,0,0,0,0,0,0,0,0
